country,actor_type,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
China,GOV,0.9449796343584508,3.518754722036142,139710,81458,44.803092119390165,0.899745717246631,4.324629454846275,-1.18421052631579,1.41129032258064,3.28867235079172
Dominican Republic,BUS,-1.6429044147684788,4.221496834467994,65,61,57.23076923076923,-1.1460242712503141,5.121210783931575,-3.98230088495575,-0.793650793650796,1.74825174825175
Germany,JUD,-5.163398728813682,3.666689938025375,669,608,44.289985052316894,-4.7683353184749215,5.195968062856788,-7.44416873449131,-5.32043530834341,-2.57234726688102
South Africa,LEG,-2.1392822382558294,2.926658191167962,1616,1232,40.76732673267327,-2.2121217709936998,4.235722758560404,-3.91459074733096,-2.22222222222222,-0.14204545454545
Turkey,LEG,-1.6172484310694104,3.4418329713143687,2653,1609,42.54052016584998,-1.4613838092442621,3.7914075451341,-3.98009950248756,-1.46699266503667,0.7843137254902
Sweden,ELI,0.4978190115693885,2.3065549258377622,26,23,31.153846153846153,0.800700388703176,3.748656839371955,0.0,1.6496465043205,1.70593013809911
Cayman Islands,HLH,-3.9014155507085118,5.371054040823726,85,62,68.23529411764706,-4.484318229790526,6.245962608247888,-7.80141843971631,-3.9426523297491,-0.56179775280899
Morocco,EDU,-1.3002990389984035,4.698844243587182,51,50,48.03921568627451,-1.5338153169832582,5.315120166373967,-4.78260869565217,0.44635193133047,1.99004975124378
Slovak Republic,BUS,0.7635398487093219,2.3108997466849797,80,71,46.625,0.6595367423343573,2.5702354709366193,-0.70921985815603,0.26362038664324,2.60303687635575
Moldova,CRM,-2.02847423459746,0.0,5,5,14.0,-2.02847423459746,1.295944651190507,-2.02847423459746,-2.02847423459746,-2.02847423459746
Serbia,SEP,-8.390022675737,0.0,1,1,40.0,-8.390022675737,0.0,-8.390022675737,-8.390022675737,-8.390022675737
Burundi,UAF,-3.96825396825397,0.0,1,1,40.0,-3.9682539682539697,0.0,-3.96825396825397,-3.96825396825397,-3.96825396825397
Liberia,CVL,-0.663149224591453,3.8500612630186835,541,421,35.804066543438076,-0.5917299452469702,4.35442562780824,-3.1958762886598,0.0,1.97268588770865
South Korea,BUS,-0.5994310489175859,3.126909376065881,2282,1379,40.381244522348815,-0.634270040074489,3.6274465280109274,-2.42914979757085,0.0,1.51975683890577
Sri Lanka,COP,-5.228777343316994,3.687512873280504,3555,3147,47.89029535864979,-5.28106396562438,5.814529450962955,-7.4468085106383,-5.03778337531486,-2.85714285714286
United Kingdom,MNC,-0.750665665845586,3.2993088213528203,21102,12411,61.73158942280352,-0.5727173739398028,3.565119931468244,-2.70270270270271,-0.48543689320388,1.36363636363636
United States,CVL,-1.9533009168844977,3.494507916216362,791331,291342,38.251010007190416,-1.8421898216068098,4.302692216053222,-4.28571428571429,-1.63487738419619,0.38363171355498
Yemen,COP,-5.84385110185387,3.9223721592871614,50,42,54.4,-5.415094740875356,6.131005668608565,-8.16901408450704,-6.50759219088938,-3.94736842105264
South Africa,ENV,-4.5259050867611,1.8206459861002264,16,15,21.25,-4.368288277363743,1.8545087978437342,-5.51643192488263,-4.11255411255412,-3.66598778004073
Tanzania,BUS,0.21753807116930876,3.5330172738129115,198,165,55.15151515151515,0.35583155027324026,3.803987077717225,-2.43605359317905,1.14649681528662,2.67942583732058
Trinidad and Tobago,EDU,-0.24454218310077683,3.510657371250687,301,254,34.15282392026578,0.08764401628101619,4.6940515473209725,-2.34375,0.0,1.86418109187749
Zambia,EDU,-0.6435514467621029,3.0588934018745606,543,514,37.29281767955801,-0.9649728700757536,4.411279242819087,-2.29885057471265,-0.1980198019802,1.10091743119266
Cayman Islands,CVL,-0.3174350712886865,2.8346354194307706,38,24,36.05263157894737,-0.1437993684397516,2.6430069657074613,-2.59541984732825,-1.39968895800933,2.36220472440945
Costa Rica,MIL,-2.1979704550426664,1.9683759952253066,30,30,31.333333333333332,-1.5895357920398496,1.6205689521873803,-2.79441117764471,-2.57985257985258,-0.51347881899871
Norway,MED,-1.7671997128545818,3.0184877503991636,110,109,35.09090909090909,-1.4504227782350023,3.632298383888889,-3.87481371087929,-2.05128205128205,0.13888888888889
Sudan,OPP,-3.969538233833844,2.2003090357950157,262,186,53.54961832061068,-4.007038846032167,3.257486047305905,-5.26315789473684,-4.0,-2.5
Burundi,CRM,-3.27044025157232,0.0,2,2,40.0,-3.27044025157232,2.3125504793522262,-3.27044025157232,-3.27044025157232,-3.27044025157232
Moldova,EDU,2.3087944867127685,1.8236223316752977,8,8,43.75,2.2380680435469844,2.0335792286435876,1.00603621730383,1.68350168350168,3.93258426966293
Croatia,REF,-2.70691786191315,3.022411049842514,12,12,50.833333333333336,-3.539197056888413,4.999780583792082,-5.44747081712062,-2.78317152103559,-1.01522842639594
Sudan,LAB,0.15054199840746,1.8228316153420052,4,4,45.0,0.5122187851419235,2.201551066001689,-1.11731843575419,-0.56882821387941,-0.56882821387941
Eritrea,OPP,-3.612922100272576,2.228791247932098,18,17,48.333333333333336,-4.228858777622279,4.77095087165053,-4.90909090909091,-3.44980097302079,-1.58730158730159
Ghana,GOV,-0.20048160880304175,3.573544968532848,41963,23931,47.683435407382696,-0.3508009908843019,4.423881880104775,-2.57289879931389,0.0,2.28426395939086
Ghana,MIL,-1.9278386266114749,3.8126141458175336,2355,1430,41.47770700636943,-1.9032554749920796,4.780758370627622,-4.7244094488189,-1.97044334975369,0.980392156862745
Ghana,OPP,-2.191463340620343,3.0174326288404263,310,170,47.516129032258064,-2.424558927913307,4.603485881025302,-3.91246684350133,-1.97530864197531,-0.456621004566211
Grenada,COP,-3.5356826209243213,3.990947913462865,201,182,66.41791044776119,-3.4368852291616996,4.487686796574657,-7.89473684210526,-3.27868852459016,-2.0746887966805
Philippines,ELI,-1.5037783879371798,3.4488294822441286,7183,3969,36.07127940971739,-1.661565303027367,4.812869032939296,-3.80184331797235,-1.3719512195122,0.84355828220858
South Korea,MIL,-2.2671165531291164,2.782263769886508,3491,2109,44.71784588942996,-2.3367140809553524,3.6938572818998994,-4.12621359223301,-2.03252032520325,-0.396039603960401
Tanzania,ELI,0.576683438676954,2.8302080148111872,263,205,44.98098859315589,0.07011403045445658,3.7776464721072154,-0.646918624446711,0.96930533117933,2.71317829457364
Poland,COP,-4.12328878201339,4.23679403749553,269,146,40.66914498141264,-4.429556677783862,5.8403810244272405,-7.89473684210526,-3.1055900621118,-0.72727272727273
Singapore,AGR,1.1327125901475,1.817268393823139,9,8,31.11111111111111,0.508729231819314,1.5226120275983326,-0.40080160320642,0.68681318681319,2.94438386041439
North Korea,AGR,0.09145039863581247,1.251141446924272,4,4,22.5,0.40735616074124886,1.3470173986522358,-1.29729729729729,-0.6357516828721,1.14942528735632
