country,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
Yemen,-3.6088441725021316,3.5852941714464004,10106,8795,44.735800514545815,-3.7321851624049502,5.313685025324895,-5.90717299578059,-3.7037037037037,-1.4760147601476
Guyana,-2.1802265975120294,3.8863469206692876,54161,48270,42.24995845719244,-1.9873132211433449,4.733578760260439,-4.57256461232604,-1.88470066518847,0.41208791208791
Malaysia,-1.757953770424816,3.3983419816155878,604138,397239,46.975227514243436,-1.6661029529603681,4.2837557336627965,-3.85964912280701,-1.64609053497942,0.54054054054054
Singapore,-1.133021707964396,3.766698574710624,175191,81500,53.44412669600607,-1.091852509094396,4.4708033673377345,-3.52941176470589,-0.7843137254902,1.45067698259187
Iraq,-3.648959584579536,3.098804141843593,108114,72500,40.78435725252974,-3.835941999799883,5.053808472579377,-5.54330708661417,-3.50076103500761,-1.58656089594027
Macau,1.5542727990421576,2.7810044450992577,358,332,32.76536312849162,1.9931090693702191,4.861040067797502,-0.11764705882353,1.27298444130127,3.08370044052864
Belarus,0.3783972927866117,3.3119373364864866,86765,74455,44.99878983461073,0.415703634223684,4.013425441023966,-1.46520146520146,0.649350649350651,2.42914979757085
Chile,-0.7744077340691919,4.374244330367231,1858,1775,42.80947255113025,-0.7996800721749227,5.352562413423989,-3.46820809248555,-0.307692307692308,2.54452926208652
Tajikistan,-0.682520272892937,4.228328634517026,23531,20853,46.214780502316096,-0.41867369982836694,5.094911576532014,-2.89855072463768,0.0,2.0
Italy,-1.4437487442530241,3.9790623388547934,116027,52744,46.32042541822162,-1.3569133035718377,4.819996823548604,-3.99201596806387,-0.7163323782235,1.81818181818182
Spain,-1.0789827048851155,3.553933572953971,48662,41429,41.78722617237269,-1.1554395456854483,4.53306029047489,-3.29218106995885,-0.767263427109969,1.33333333333334
Cuba,-2.1983248878143793,2.960719548189182,31234,28094,41.02196324518153,-2.1732845546424495,4.065181585838221,-3.87116754413131,-2.28310502283105,-0.32119914346895
Morocco,-1.3078807107516621,4.3523983016933245,15847,14397,42.83018867924528,-1.3326573395350165,5.567450536783649,-3.99522957662493,-0.85582620144832,1.63934426229509
Saint Kitts and Nevis,0.7969514118992322,3.9280529611628285,3897,3681,56.002052861175265,0.44755349409063455,4.727219140239631,-1.46520146520146,1.18343195266272,3.46820809248555
South Korea,-1.1656112037788435,3.297212012924742,246402,142204,46.104536489151876,-1.2560217809164602,4.2799912036723695,-3.125,-0.90634441087614,1.02564102564103
Estonia,-0.4266425351033245,3.056705506542846,13763,12600,43.130858097798445,-0.4380542669711358,3.808833062842486,-2.01465201465202,0.0,1.55709342560554
Georgia,-1.7500814357624612,3.4446243027603654,420,393,44.19047619047619,-1.58943675334974,4.0245502551060355,-4.04040404040404,-1.61691542288557,0.84745762711864
Zimbabwe,-2.5594844464686157,3.5346905924212186,286348,183996,45.231850755025356,-2.499969473205309,4.569142750382091,-4.77001703577513,-2.52100840336135,-0.33500837520938
Indonesia,-1.2840266542430283,3.8563010827785646,139105,125583,40.09568311706984,-1.2629860387068195,4.808460208958232,-3.98009950248756,-0.91185410334347,1.5600624024961
Guatemala,0.7562359724327117,2.186129280858833,467,465,41.84154175588865,1.063516217133995,3.0809034531101,0.0,0.900900900900901,1.89274447949527
Mongolia,1.2655115142756213,3.1987581900188506,2445,2425,52.77300613496933,1.093161118532255,4.062290484742422,-0.32154340836013,1.45985401459854,3.17220543806646
Grenada,0.9545280938172396,3.8567628525707986,5423,4831,53.5367877558547,0.9885132394560316,4.26687852722409,-1.4218009478673,1.4218009478673,3.56536502546689
Armenia,-0.8108842857620806,4.041417970298047,271983,162812,40.95458172018104,-0.6572444755716568,5.016009831053328,-3.39976553341149,-0.63694267515923,1.88679245283019
Zambia,-0.8930417305542467,3.5278848126842264,75890,71033,38.23547239425484,-0.875132118225727,4.3864992147432575,-3.1055900621118,-0.66079295154186,1.51515151515151
Czech Republic,-1.8188172735132204,2.7032432759621696,79036,39074,39.6300420061744,-1.7880668233537742,3.6362025275491874,-3.47394540942928,-1.77514792899408,0.0
Mozambique,-3.5414919582979314,2.634753001966336,115,115,40.0,-3.4010019097131945,3.5858515109640257,-5.73529411764706,-2.62340352088368,-1.43737166324436
Cook Islands,0.6003380136919375,3.212159309814936,4531,4495,43.182520414919445,0.690878728068207,4.005596098942463,-1.09814687714482,0.99800399201597,2.64900662251656
Luxembourg,0.8045951877685869,3.239814122243431,9712,8753,53.134266886326195,0.8014468507520275,3.95431444148245,-0.83333333333333,1.09289617486339,2.76679841897233
New Zealand,-0.5302773432008161,3.5523892062556186,503315,307524,49.92736159264079,-0.5152213260187092,4.364425644852941,-2.62626262626262,-0.32467532467533,1.73010380622837
Portugal,-0.1573575401796772,3.5845950900619274,7870,6198,46.639135959339264,-0.2507423665738399,4.491576389749063,-2.01005025125628,0.33444816053512,2.11267605633803
Bulgaria,-0.818847045793205,3.193521676006857,140314,77529,45.832489986744015,-0.8564735191606434,3.971539146533158,-2.5706940874036,-0.42372881355932,1.31004366812227
Solomon Islands,0.5128601683620133,4.121842156875007,4626,4358,52.97449200172935,0.7302391290683165,4.398945631127742,-1.6260162601626,1.35135135135135,3.37837837837837
Colombia,-3.1610191230184013,3.940215691993497,11736,11474,45.109918200409,-3.2279282132664133,5.342830135658776,-5.80152671755725,-3.32836562344759,-0.45454545454546
Pakistan,-2.3450253869947835,4.132316038526652,1100426,808441,43.45753371875983,-2.2850778415671336,5.361879938875043,-4.95049504950495,-2.13903743315508,0.48076923076923
Slovak Republic,-0.7688624309356286,2.626877541505708,6713,6087,45.75301653508119,-0.7408488964372235,3.181721042098441,-2.56410256410257,-0.61855670103092,1.02564102564103
