country,actor_type,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
Burundi,UAF,-7.023305920909307,2.5774639900475926,748,165,57.25935828877005,-7.2027246448328,5.691215430367892,-8.65979381443304,-7.00636942675159,-5.37313432835821
China,GOV,-1.573638521584738,2.9847688985860343,833864,249421,40.54495697140061,-1.5920818483499557,3.867631529028854,-3.3306255077173,-1.65394402035623,0.2840909090909
Democratic Republic of the Congo,REF,-3.774583954472387,3.502395288661748,702,436,45.66951566951567,-3.4668997706921383,4.2736971874585405,-6.15384615384615,-3.03030303030303,-1.26404494382023
Dominican Republic,BUS,-3.870344754889821,2.7242152981597365,404,113,51.039603960396036,-4.171393549583097,3.917265297776872,-5.22388059701493,-4.89642184557439,-3.65811965811966
Finland,REB,-1.8564263767787366,0.5619794808713066,28,10,40.714285714285715,-1.8234447859483838,1.2136183298651215,-1.74129353233831,-1.74129353233831,-1.72839506172839
Germany,JUD,-6.438368856067991,3.345083707632758,38853,8219,39.72769155534965,-6.466381899331087,5.948585254171047,-8.26086956521743,-6.38489208633094,-4.11111111111111
Morocco,EDU,-1.560236038847904,4.471215879688041,375,267,37.49333333333333,-1.869204564815213,5.890637448404489,-4.38829787234042,-1.47783251231527,2.26415094339622
Slovak Republic,BUS,-0.04225584936955012,2.3936664832039005,595,253,32.30252100840336,-0.12580242342211592,2.6256054242549522,-0.24937655860349,0.0,0.62992125984252
South Africa,LEG,-2.967881054417286,2.9759731068453186,2129,972,27.99906059182715,-2.79687129111336,4.080710924006916,-5.23338048090523,-3.05343511450382,-1.37931034482759
Sweden,ELI,-0.9588631854372236,3.0954327934054877,937,486,27.705442902881536,-1.3552663411443857,3.86208359975043,-3.03030303030303,-0.85470085470086,1.52905198776759
Turkey,LEG,-3.1790156234228997,3.4568335635669736,18396,5538,36.0002174385736,-3.3933170711653293,5.112679097755927,-5.5,-3.23299888517279,-0.70093457943925
Central African Republic,MED,-5.205068576259351,2.1587296280386834,917,217,19.70556161395856,-5.374764580808872,5.284894768652902,-6.3583815028902,-4.49438202247191,-3.93442622950819
Moldova,CRM,-6.455596955996515,1.8809447695526058,35,13,75.71428571428571,-6.621028688364643,3.664007113574782,-7.04091341579449,-7.04091341579449,-5.94594594594595
Cayman Islands,HLH,-1.7897790592254867,5.182758539125887,40,40,64.0,-3.3457674252456564,6.548859154638263,-6.15384615384616,-2.64900662251656,0.966183574879226
Liechtenstein,BUS,-1.0169779673779737,4.226931728046596,59,34,58.47457627118644,-0.9577821970861836,4.695513660515172,-2.19298245614035,1.16472545757071,2.29885057471265
Chad,UAF,-6.621101656462075,4.179416369848089,66,59,28.333333333333332,-6.794467080840465,7.743645974227501,-10.3448275862069,-6.67574931880109,-4.76190476190476
Ivory Coast,LAB,-3.410179180627345,1.9553088239786152,65,33,34.92307692307692,-3.473000897836757,3.2400685556122966,-4.93991989319092,-3.79213483146067,-3.43558282208589
Serbia,SEP,-2.875608959390866,1.5473156071313146,13,8,24.615384615384617,-2.8435099625354177,2.071127651807953,-3.8068086533624,-3.77263581488933,-1.38568129330254
Kazakhstan,IGO,1.3215859030837,0.0,1,1,100.0,1.3215859030837,0.0,1.3215859030837,1.3215859030837,1.3215859030837
Liberia,CVL,-3.2906228915458353,4.291572740733042,1007,604,34.856007944389276,-2.731791064766284,4.410993501345641,-6.72897196261682,-3.14685314685315,-0.26666666666667
Norway,MED,-3.784612825950894,2.94959928108846,4630,1299,31.49892008639309,-3.844845990835501,4.699666301558899,-5.74712643678161,-3.83435582822086,-1.81818181818182
South Korea,BUS,-1.157677597341377,3.1246201325922924,11416,4852,40.429222144358796,-1.442101195830084,3.6300937349142837,-3.52846832397755,-1.09289617486339,1.29449838187702
Sri Lanka,COP,-6.574296195245743,3.698118629391175,2445,878,47.48057259713701,-7.179323351994744,7.72705816215107,-8.8235294117647,-6.56934306569343,-4.14012738853504
Sudan,OPP,-4.403869245489214,3.0689779134023523,1091,572,35.57286892758937,-4.131040145818331,5.082205811123342,-6.73758865248224,-4.55357142857143,-2.28310502283105
Tanzania,BUS,0.026209509843886133,3.5919132387079746,641,529,50.20280811232449,-0.027600704042511946,4.4618434053777305,-1.92307692307692,0.490196078431372,2.43407707910751
Trinidad and Tobago,EDU,0.10457525255419436,2.8214904159173697,273,212,32.857142857142854,0.49176349946682024,3.355583581226348,-1.36307311028501,0.479616306954437,2.17948717948718
United Kingdom,MNC,-0.2533634927513622,3.1334870143954237,89988,47359,63.84840200915678,-0.06748783625251328,3.56861520580737,-2.08333333333333,-0.0881057268722398,1.59817351598173
United States,CVL,-2.748302429898562,3.516034415974527,74871,35794,37.775907894912585,-2.6277890153713654,4.6687992361878665,-5.17879161528977,-2.70270270270271,-0.34722222222222
Yemen,COP,-4.868971448460713,2.7738844509940246,7594,1450,47.54279694495654,-4.784425640246321,4.201979979281019,-6.55737704918033,-4.45804195804196,-3.08441558441558
Cayman Islands,CVL,-0.3023787137607593,3.561382227316422,59,52,34.067796610169495,0.21073878310918218,4.554544390681796,-4.00728597449909,-0.29154518950438,2.83842794759826
Moldova,EDU,-1.8214924338451934,2.439537696514241,125,62,38.8,-1.773393730235505,3.0526574631618555,-3.44827586206897,-2.6578073089701,-0.94876660341556
Mozambique,EDU,-2.7340064970551707,4.053997889339542,212,123,36.27358490566038,-3.1946233823363124,6.548720419607021,-6.73400673400673,-3.08483290488432,0.55762081784387
Zambia,EDU,0.1495444444121013,3.4667994354839435,436,353,38.50917431192661,-0.049422759630762585,4.825225917716123,-1.76470588235294,0.59347181008902,2.38663484486873
Croatia,REF,-4.372941667891612,3.2349209773223677,192,84,33.645833333333336,-3.550553604698058,4.818363204654384,-6.77966101694915,-6.42201834862386,-1.18964310706788
Sudan,LAB,-3.6236808410912147,3.8706078382466633,124,80,47.096774193548384,-4.419317271915369,7.30758064804098,-6.08695652173913,-4.11764705882353,-0.99009900990099
Germany,IGO,-2.981525274517104,2.142286679566643,23,17,38.26086956521739,-3.1392611805703954,3.0599826786539515,-5.15021459227468,-2.77777777777778,-1.72764227642276
Antigua and Barbuda,CRM,-4.41988950276243,0.0,4,2,20.0,-4.41988950276243,0.0,-4.41988950276243,-4.41988950276243,-4.41988950276243
Costa Rica,MIL,-2.04425380697662,1.936905110902334,47,28,44.04255319148936,-1.9002329450802313,2.222116402480339,-3.04761904761905,-3.04761904761905,-1.00502512562814
Norway,IMG,-12.5333333333334,0.0,1,1,20.0,-12.5333333333334,0.0,-12.5333333333334,-12.5333333333334,-12.5333333333334
Burundi,CRM,-6.09941891085627,2.783636935966278,40,34,36.75,-6.8485641498889525,6.983659034153038,-7.53424657534246,-5.37878787878788,-4.54545454545455
South Africa,ENV,-5.259828887444281,2.691387958252674,83,26,18.674698795180724,-5.179479231758546,2.954028800892964,-7.2463768115942,-5.24017467248909,-4.37956204379562
Liechtenstein,EDU,0.5122719110644083,3.495444507314118,13,13,47.69230769230769,1.567846731963936,3.1477804874929047,-0.87873462214411,1.7379679144385,2.87474332648871
Ghana,GOV,-1.2083334033913657,3.9264850766916193,18422,7833,37.82705460862013,-1.4142632471802616,5.507096629514642,-3.88170055452865,-0.99337748344371,1.69014084507042
Ghana,OPP,-2.7698415388800517,3.7998330495100707,281,118,36.405693950177934,-3.8383936268133545,6.489432466248057,-6.23376623376623,-2.82685512367491,1.36054421768708
Grenada,COP,-5.254504110842826,3.358342642726959,896,299,46.35044642857143,-4.521789763221375,5.198111760267385,-6.84410646387833,-6.55737704918033,-3.21428571428572
Philippines,ELI,-3.373915521553674,3.387189109797796,4850,1499,32.42061855670103,-3.059455525153365,4.6247346352450425,-5.85048754062839,-3.12965722801789,-1.31147540983607
Poland,COP,-4.6981957363256175,3.6862506177500607,7053,1408,41.948107188430455,-4.408688653623773,4.91651785610055,-7.24946695095952,-3.92156862745098,-2.06489675516224
Singapore,AGR,1.6298416536164466,2.4149265589481157,38,25,19.210526315789473,1.2343548430092484,2.7981906933462595,-0.31645569620253,2.46478873239437,3.25077399380805
South Korea,MIL,-3.2216222465989137,2.1397840521527933,74043,12574,43.894493740123984,-3.319793179315702,3.6474050472993693,-4.19580419580419,-2.93772032902468,-1.88235294117647
Tanzania,ELI,-1.3108551128983514,2.894804901182811,1937,1009,49.72638100154879,-1.3079417032620388,3.129215322096224,-3.09460654288241,-1.41732283464567,0.38167938931298
Eritrea,OPP,-6.794519949107646,2.573094974945194,64,57,41.09375,-6.130636183281413,3.083743998213022,-9.0625,-7.36677115987461,-4.77338877338877
Ghana,MIL,-2.7562944096796222,3.6393041129132606,809,395,32.85537700865266,-2.3059684177355533,4.596040234353111,-5.23560209424084,-4.19847328244275,0.15723270440252
Democratic Republic of the Congo,SEP,-10.089766538040406,1.8027431570230823,45,19,65.33333333333333,-10.437600358649012,4.098280916440327,-10.8527131782946,-10.5348460291735,-9.86666666666663
North Korea,AGR,-2.054535802749453,2.3678824074833926,375,79,30.88,-1.9212839073551955,3.0351389539476394,-3.54609929078014,-0.50251256281407,-0.48602673147023
Cape Verde,OPP,-3.3283909528412052,1.220378835812542,5,4,28.0,-3.851427479715106,3.331039082357073,-4.1058394160584,-4.1058394160584,-1.99948065437549
Bulgaria,BUS,-0.7168195373986281,3.4049525344384244,601,324,39.36772046589018,-0.7530450929762537,4.27008406719058,-3.04878048780488,-0.85348506401138,1.75438596491228
Chile,GOV,-2.335246937325804,3.5592510637915127,30714,8511,40.231816109917304,-2.7647529897345833,5.287157829691011,-5.21582733812949,-1.35593220338983,-0.11441647597254
