country,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
Sweden,-3.203392299171696,4.358988032309001,894190,258716,38.043637258300805,-3.0204890842746095,5.859831141968918,-6.45015787099684,-3.50765306122449,0.0
Turkey,-4.294581756155468,3.1611814577942186,5667893,1513501,37.18864311658671,-4.3922492653985525,5.471517617505469,-6.27062706270627,-4.28065658191182,-2.38006693938267
Iraq,-3.9281157974353196,2.7665995329066697,3692731,967934,37.60388991237109,-4.023941942023696,4.794569120504594,-5.51816958277254,-3.81736526946108,-2.18289085545722
Sudan,-4.040600184974921,3.4783466914775665,552304,208709,36.10728873953475,-4.086113450733902,5.714120872952953,-6.2124248496994,-4.06374501992031,-2.046783625731
Angola,-2.9699942563306614,3.881757153403995,116007,49674,38.67663158257692,-2.81722190241686,5.518754354796718,-5.84795321637427,-3.15186246418338,0.0
Belgium,-3.9864165378571954,3.8844894623760724,1733539,455377,37.02886407516647,-3.8780406930246247,5.739351582855499,-6.87022900763359,-3.89221556886228,-1.14942528735632
Albania,-3.548303653785868,3.768827146685777,182110,58935,38.43237603646148,-3.5071704517204227,5.503901871863631,-6.3265306122449,-3.47432024169184,-0.93457943925234
Madagascar,-1.4411649011014052,3.5473566095788622,48336,19754,44.137909632572,-1.6427312750158063,4.844515703110373,-3.19061903463322,-1.39275766016713,0.95187731359069
Finland,-1.8295663759372267,4.026584734125665,367672,137093,44.49017058682739,-1.5803523982113241,5.070706189189966,-4.51388888888889,-1.26262626262626,1.11265646731571
Belarus,-2.472664733175043,3.899884071287662,208320,93223,37.286866359447004,-2.528919392754629,5.547792367828686,-4.99375780274657,-2.51968503937008,0.26281208935611
Sao Tome and Principe,0.09110765464499236,3.5099101514106015,5563,2645,38.617652345856555,0.23011095439264476,4.061989410479021,-1.61439114391144,0.73529411764706,2.14797136038187
Cayman Islands,-1.3052534431122558,3.618597891791681,29474,17483,48.78944154169777,-1.322345990223685,4.519660269914852,-3.36322869955157,-1.29533678756476,1.01010101010101
Mauritania,-2.9695915022991572,3.565798523100433,48692,17821,36.43493797749117,-3.143308191717235,5.764464988039808,-5.16605166051661,-2.84090909090909,-1.09649122807017
Cape Verde,-1.2736571943535782,3.7314953558757025,9544,4937,37.41303436714166,-1.029005045896543,4.8213442173617125,-4.29530201342282,-0.95087163232963,1.39935414424112
Panama,-2.7126240517610603,3.422058844632228,283445,105907,39.41738256099067,-2.622795450204504,4.727836847438577,-4.87288135593221,-2.57234726688103,-0.47505938242281
Hong Kong,0.5065590119209455,2.3800593802375407,24470,13033,71.61217817736004,0.5805212325944157,2.5316343300029516,-0.72463768115942,0.91876208897486,1.6597510373444
Saint Kitts and Nevis,0.08944334426828919,3.8277802203142084,45655,14283,52.57715474756325,0.1545928921327611,4.461860082246403,-2.63720598717035,0.14814814814814,2.81690140845071
South Korea,-2.5112666609517365,2.993097000880401,2358335,624729,43.46721733765559,-2.4923176836845173,4.350280901201442,-4.26267281105991,-2.49221183800623,-0.72115384615384
Cyprus,-2.3659485628165364,3.3162769367650955,278231,77849,36.27740977820588,-2.31819029572711,4.551205547242349,-4.52674897119341,-2.04081632653062,0.0
Uruguay,-2.3673199238101876,3.624487995824628,90529,28358,37.70614941068608,-2.395717978636518,5.0009650850109475,-4.91803278688524,-2.34375,0.37037037037037
Mexico,-2.9076207943874652,3.422648705198685,2643577,727635,36.71282130234905,-2.957528475861883,5.045364141847807,-5.08317929759704,-2.78884462151395,-0.63424947145877
Honduras,-3.5382703318589597,3.5848932138554543,126705,47095,36.24979282585533,-3.6446284347463265,5.6657444346834,-5.88235294117647,-3.81970970206264,-1.11653872993719
Syria,-4.657012092574816,2.7706143703952866,6777994,1663678,34.88590429557772,-4.760232017913113,5.237533843170997,-6.40226628895184,-4.60526315789474,-2.84191829484902
Switzerland,-2.2928641199975144,3.643192281471419,1245317,429516,39.014740825026884,-2.0920869654134746,4.859920108422516,-4.6583850931677,-2.1021021021021,0.14716703458425
Zambia,-2.2038898866513374,4.472789650766223,121428,68839,40.47740224659881,-2.1096342004996163,5.613934474091928,-5.03672612801679,-1.88797986154815,1.0648596321394
Jamaica,-1.5910892319653176,4.369531340655118,220009,108758,47.558327159343484,-1.6013641471065256,5.715245877320667,-4.54545454545455,-1.03626943005181,1.42045454545454
Latvia,-1.831623686704806,3.3808489364353083,131987,51686,36.37926462454636,-1.727714333872716,4.7023071960543135,-3.98671096345515,-1.6597510373444,0.4424778761062
Seychelles,0.7895450348917338,3.269614886141479,36575,16595,46.81093643198906,1.0072244711212466,4.247748588662493,-0.64350064350065,0.90655509065551,2.86177105831534
Belize,-1.825132724853958,3.668562214665275,46491,19848,41.22518336882408,-1.7582290462338923,4.817477286708476,-4.5,-1.58730158730159,0.72463768115942
Brazil,-3.052756057515851,3.65177042916693,928942,335674,42.55879269103991,-3.2128724120307526,5.2285750611752535,-5.45977011494253,-3.26678765880217,-0.55248618784531
Botswana,-1.0381312550373145,3.777085568847698,70299,39191,44.298354172890086,-1.0516950829579428,4.756878671329116,-3.46051464063887,-0.88757396449704,1.47275405007364
Japan,-1.5485382593521195,3.120978167225419,3603808,1131534,41.59483524094513,-1.5373462341476902,4.209743986631806,-3.47107438016529,-1.59574468085106,0.53034767236299
Tanzania,-2.1087589362179515,4.018297775936366,246501,121771,41.951635084644685,-2.0808133010948664,5.167344279661685,-4.96453900709219,-1.68269230769231,0.731261425959779
Guinea-Bissau,-1.7591232839641209,3.5999740885410336,13142,6285,29.68497945518186,-2.0660075869191354,5.520094503271469,-4.19580419580419,-1.89959294436906,1.01694915254237
Austria,-3.0205476333832424,3.387297912778088,770957,228147,37.410348437072365,-3.0225298116608608,5.049966614737847,-5.30222693531283,-3.19940476190476,-0.76142131979695
Nepal,-2.378757599651984,3.500953544660226,560384,167248,44.29171782206487,-2.389641017165582,4.84910050319446,-4.6337817638266,-2.45478036175711,0.0
Anguilla,-2.6378298610806454,3.5622717619062905,6923,2696,38.60754008377871,-2.2590308506576364,4.967264713664492,-5.26829268292683,-2.94599018003273,0.0
Paraguay,-2.593172689495683,3.223263564032978,88008,23585,35.508249250068175,-2.7049713361659333,4.915538874659349,-4.76190476190476,-2.77777777777778,-0.35335689045936
Russia,-3.146383659890021,2.8632629237726466,10598617,2607204,34.57565171002972,-3.1732862547196587,4.528169965010173,-4.9103663289166,-3.00902708124374,-1.28342245989304
Costa Rica,-2.0396948760600915,3.7303726242184405,86696,34380,38.56129463873766,-1.974423182557398,4.933383384347688,-4.42477876106194,-2.3121387283237,0.664672648720504
Egypt,-3.9316534554138407,3.624766060668472,2544851,727236,37.856648581783375,-4.165263972475879,6.073147092238493,-6.08365019011407,-3.93325387365912,-1.66481687014428
El Salvador,-4.085585459146687,3.7556755438180645,169292,56921,38.508671407981474,-4.359962225110956,6.073743516243562,-6.71834625322998,-4.25531914893617,-1.67173252279635
Kazakhstan,-1.3967497646755014,3.5374775030980072,251702,108708,39.19035208301881,-1.2286524109493844,4.665434263128022,-3.78273520853541,-0.99403578528827,1.03626943005182
Serbia,-4.277391540778747,3.688990019651583,314486,69075,37.08149170392323,-4.3105442766292414,5.852221531839379,-6.42140468227425,-4.713560551124,-2.00501253132832
Pakistan,-4.125561540440473,3.7000541861276406,3335893,1183421,40.02996798758234,-4.200155645475669,5.821122735702657,-6.56934306569343,-3.98406374501991,-1.69491525423729
Eritrea,-4.963944251856727,3.5994698643779417,94499,31450,36.21646789913121,-4.96237572410266,6.159050480522208,-7.26698262243286,-5.13219284603422,-2.70009643201543
Philippines,-3.5291997362499323,3.622966044749922,1553555,452352,36.88574269980786,-3.5123905647375997,5.391485126119815,-5.96658711217184,-3.31541218637993,-1.13636363636363
Yemen,-4.4115493191648465,2.8497841411753084,1207338,337342,40.26888907662974,-4.559677235149147,5.175016607479198,-6.22009569377991,-4.29594272076373,-2.66666666666666
Chad,-4.413153784545941,4.0577196169347625,283692,99901,39.054432271618516,-4.508526319119137,6.295423089116978,-7.14285714285714,-4.25844346549193,-1.69712793733681
Malawi,-2.3931351325533488,4.051358957397411,82583,42632,44.86371287068767,-2.2790002921544943,5.069733161386109,-5.18134715025907,-2.25694444444444,0.60422960725076
Senegal,-2.975901918911226,3.8546062841209277,145940,48508,39.10045224064684,-3.063383668390764,5.8471620259880295,-5.45212765957447,-3.05732484076433,-0.36407766990291
Guyana,-1.9191008174793112,3.8655324267101028,104483,49888,43.88110984562082,-1.852610396588366,5.130473708371912,-4.06779661016949,-1.57790927021697,0.64205457463884
Ivory Coast,-3.8876689293959705,4.106664250993577,105428,36649,41.58022536707516,-3.8683601857981373,5.655028400795778,-6.84931506849315,-4.41176470588235,-0.72289156626506
Jordan,-3.278417175672092,3.64584396370536,1374546,424890,39.15336409258039,-3.1959591865217045,5.177015744123883,-5.55256064690027,-3.25814536340852,-0.89285714285714
Maldives,-3.6291896323302435,4.249945164375478,461969,191813,57.85507252651152,-3.7675925063512268,5.559986950747964,-6.62983425414364,-3.64963503649635,-0.5591798695247
Rwanda,-3.7041809075513563,4.75986556924083,220511,98640,41.428999006852266,-3.5208406529186416,6.365211759267327,-6.97074010327023,-3.60655737704919,0.0
Saint Helena,-0.4006258438723231,2.50271401956512,2768,943,45.65028901734104,-0.48701694922858874,3.2769813904015086,-1.48075024679171,-0.37974683544304,0.8298755186722
Kiribati,-1.877594388745557,2.3674032640043388,23837,7050,46.107731677644,-1.8173389183948632,3.1896980268678385,-3.03030303030303,-2.35690235690236,-0.85227272727273
Malaysia,-3.170141111885988,3.3385187376768166,1296605,366238,39.76657501706379,-3.112189678284373,4.809797896410224,-5.46448087431694,-3.28083989501312,-1.06221547799696
Singapore,-0.8547264999346575,3.605750956101099,624009,243469,44.6730095239011,-0.8046989861839879,4.601966911993115,-3.16742081447964,-0.55096418732782,1.6025641025641
Fiji,-1.111955725975207,3.959012236282341,79965,36317,43.36809854311261,-1.0014742275533732,4.950611579536059,-3.92156862745098,-0.65005417118094,1.5625
Sri Lanka,-2.1308701441893505,3.8998096518916454,362168,135921,44.55509597755738,-2.277729854023701,5.318436016639231,-4.73537604456825,-1.93115029387069,0.66666666666667
Djibouti,-3.1134494779001627,3.075161335082802,133877,39690,31.861111318598414,-2.9261030178020815,4.567224737809446,-4.74452554744525,-3.07908721475461,-1.63690476190476
Tonga,-1.631753752559568,4.319048806638396,20497,10464,39.59603844465044,-1.3794062583017106,5.0825256935723395,-5.13112884834663,-0.98425196850394,1.55172413793104
Afghanistan,-4.442272745869676,3.5881613849060385,3428449,961910,39.80669393069577,-4.655874414333443,5.960894505799412,-6.87960687960688,-4.29228410832908,-2.03821656050956
Cambodia,-3.0768513066955596,4.0612115360595995,380691,118890,44.41641646374619,-3.243032469611737,5.639450052688717,-5.90604026845637,-3.13588850174216,-0.19120458891014
Germany,-2.992490442161833,3.5438590361671434,5337750,1552462,38.19485925717765,-3.0106926727153827,5.185458788120362,-5.33573141486811,-2.87187039764359,-0.57471264367817
West Bank,-4.953598762093719,4.223668555926611,2641332,647146,32.790928970686004,-5.099061886635053,6.854973996960658,-7.90273556231001,-4.77611940298507,-2.01005025125628
Algeria,-3.5750221226939463,3.9915031731977706,215119,87960,40.68919993120087,-3.4587215551727373,5.561409098500622,-6.4748201438849,-3.40632603406326,-0.79365079365079
Equatorial Guinea,-1.564260233945679,3.282321304964813,24568,10133,38.78988928687724,-1.557797922524456,4.591789417589118,-3.61445783132531,-1.3986013986014,0.72289156626506
Togo,-2.2284072288393086,3.8333889533033925,31103,13029,40.506703533421216,-2.3620120726299203,5.474011451994894,-4.89236790606654,-2.4745269286754,0.53333333333333
Comoros,-1.4563227325459487,3.817361201039571,6806,3256,39.84131648545401,-1.6887206135724815,5.170372276345177,-4.27927927927928,-1.06100795755969,1.3550135501355
Ecuador,-2.7145880565002467,3.5115698896424914,343639,87094,36.44330241910843,-2.472474149178971,4.662054599530999,-5.43093270365998,-2.59222333000997,0.0
Qatar,-2.3111083059937028,3.24738206242794,806012,269653,39.39488493967832,-2.133229766464162,4.641860605446501,-4.35403283369022,-2.52324037184595,-0.432900432900429
France,-2.9322474300561514,3.6558718460391835,7329312,1930446,37.52152180177348,-2.914692659262753,5.2183168470645755,-5.42986425339367,-2.8169014084507,-0.43668122270743
Ghana,-1.107887948866638,3.887879868654139,276862,110396,38.75136349517088,-1.0351471247054813,4.847228873324863,-3.67534456355283,-0.88987764182425,1.6359918200409
Myanmar,-3.2021953755379355,3.6089784162673597,759789,236255,47.480168836347985,-3.3401873723435798,5.102460941316144,-5.79439252336448,-3.42384887839434,-0.50167224080267
Nicaragua,-1.9996806255745476,3.160202177674793,108875,40536,38.76500574052813,-2.048054634960754,4.551763528624331,-3.81679389312977,-1.83333333333333,0.0
Greece,-3.2591308617724692,3.111044476306999,2361774,571637,41.54294187335452,-3.2890197378146726,4.6400891671061615,-5.22875816993464,-3.21888412017168,-1.354096140826
Croatia,-4.154594267835225,3.3817075131317087,284105,76185,37.18164059062671,-4.084153184214101,5.335637718812174,-6.11045828437133,-4.83531885073581,-2.21052631578948
Palau,-1.1120635181915892,3.1759238196764707,10062,5869,42.3394951301928,-1.119691864977886,4.060191034617845,-3.31050228310502,-0.82644628099174,1.00719424460432
Bahamas,-2.890382455369073,3.8749317160313317,143857,57269,37.7193323925843,-2.7261586031757323,5.542709794072286,-5.5417700578991,-2.86844708209694,-0.28985507246377
China,-1.769359177293325,3.0631309916928227,8281302,2586065,40.48359907657033,-1.7557980355892975,4.168742098471828,-3.56275303643725,-1.7391304347826,0.15898251192369
India,-2.603663004352811,4.089049953838944,689057,326489,38.47474156709822,-2.5082342349609097,5.590448724690021,-5.28846153846154,-2.34604105571848,0.39421813403417
United States,-2.309721723721335,3.519255333065222,16830093,6566142,40.170880220329146,-2.189075990919173,4.6834799062495565,-4.60720614294153,-2.20125786163522,0.0
Benin,-2.1094113500115665,4.04477195884722,68938,33741,38.86869360874989,-2.003991891338304,5.0095126645045,-4.73372781065089,-1.99897488467452,0.70588235294117
Peru,-2.4086871728051373,3.8036907705522225,422171,145526,39.88400434894865,-2.429920500908274,5.265849510977002,-5.0,-2.34986945169713,0.26246719160105
Sierra Leone,-3.4886257484878582,3.5662178391390706,99141,32002,38.80896904408872,-3.3579311944703125,5.237412128281951,-5.83756345177665,-3.78548895899053,-1.21802679658952
Congo,-4.706039648354087,3.804107769506312,142235,42979,37.189580623615846,-4.796500641315481,6.018336040698605,-7.22891566265059,-4.71631205673759,-2.15238915195868
Liechtenstein,-1.1972804484696127,3.786578975200657,9942,4840,38.988131160732244,-1.2777532647968914,4.9752679022126145,-3.58974358974359,-1.21951219512195,1.62337662337663
Kuwait,-2.6908188118864707,3.581585066061477,346455,119811,39.952634541282414,-2.7402122967836737,5.287077937755834,-4.94505494505494,-2.76872964169381,-0.41753653444677
Malta,-2.2297162825268604,3.6329146397648024,148508,46385,40.3019365960083,-2.0556541285273497,4.974665678663038,-4.57433290978399,-2.30769230769231,0.26315789473685
Dominica,-3.221885076782378,3.740342475579828,20820,8992,47.880883765609994,-3.3106108017261398,5.293318252260209,-6.34146341463415,-3.94736842105263,-0.34602076124567
Taiwan,-1.5803017529451437,3.24984171978787,532469,173841,41.1541516970941,-1.6231709973117145,4.61205964434015,-3.40775558166862,-1.31108462455304,0.3125
Marshall Islands,-1.8153044247555479,2.4603647484898383,31285,9679,40.72558734217676,-1.7929347962677211,3.1086905413624604,-3.04147465437788,-2.12765957446808,-0.28985507246377
Somalia,-5.492734288575977,3.4597525995465284,793208,218583,39.57219291787274,-5.683437709874561,6.376335925253852,-7.89473684210526,-5.42740841248304,-3.35339638865005
Tuvalu,-1.3677430393366663,2.2399485851515895,15530,3948,30.11912427559562,-1.005342392740422,3.408555416254962,-2.74129069103369,-1.92307692307693,-0.90344438170525
Bhutan,-0.23051545227353276,3.595882725256647,68750,30313,41.255272727272725,-0.03405557998973998,4.3651183718724065,-2.70935960591133,0.0,2.1875
Democratic Republic of the Congo,-4.904154724399834,3.8568264059983712,145183,65635,42.075587362156725,-4.898460370901165,6.10849225166531,-7.32484076433124,-5.21159874608151,-2.29455709711847
Lithuania,-2.0099626085024003,3.306375720242107,180590,65730,36.05930560939144,-1.9489502790353355,4.596088463380333,-3.98550724637681,-1.73076923076923,0.24855012427506
Chile,-2.4743424772996954,3.914197492595977,410110,137054,37.936309770549364,-2.4930431186875825,5.512247446866304,-5.23255813953489,-2.26960110041265,0.38819875776398
Tajikistan,-2.2467722187105514,3.98078171504197,104883,56168,38.211530944004274,-2.112684424879519,5.348001396843146,-5.12820512820513,-2.03488372093024,0.738916256157633
Puerto Rico,-1.9310209474355922,3.918319800680179,22,16,60.90909090909091,-1.4705915978848587,3.6364381858866985,-2.68987341772152,-1.58311345646438,0.35523978685612
Macau,0.8476145173988183,3.8045712541617367,4516,2785,31.20239149689991,0.9082350488075926,4.6341092799591594,-1.58227848101265,1.51133501259446,3.47593582887701
Iran,-2.8999080765710965,2.8017115782484576,5028125,1439344,37.08030528278434,-2.8523030919530092,4.178959994726271,-4.50751252086811,-2.70833333333333,-1.12589559877175
Oman,-0.9545433295398108,3.374115703982583,191895,77557,42.932541233487065,-0.8250437962764411,4.565822079825363,-3.12261995430312,-1.05263157894736,1.28205128205129
Andorra,-1.659492647159844,3.4806848863085174,3118,1735,39.281590763309815,-1.4976278699047683,4.495374463302802,-3.71287128712871,-2.18340611353712,0.51679586563307
Bolivia,-2.3075047955896233,3.4299628936409494,186261,63511,39.16053280074734,-2.383767127833333,4.79716866754317,-4.16666666666667,-1.78970917225951,0.0
Nigeria,-4.4753473718062695,3.89325012722318,1063688,360911,40.695062837975044,-4.554112104672715,5.981142365030327,-7.09969788519638,-4.45103857566766,-1.98170731707317
Wallis and Futuna Islands,0.21012684281052518,2.884595043044816,144,115,50.90277777777778,-0.19266424863688345,3.801416447278328,-1.92307692307692,0.31055900621118,2.48447204968944
Iceland,-1.3030914924244301,3.2786267766895594,99353,41703,46.12885368333115,-1.2871323609302077,4.157929389363911,-3.5426731078905,-1.36425648021828,0.93167701863354
Israel,-3.885158698927291,3.8872693186351213,4865598,1371594,36.463055517533505,-3.9972214495367657,5.831207715703742,-6.50887573964497,-3.42465753424658,-1.16731517509728
North Korea,-3.260252482455404,2.412379628921952,2563872,558186,40.36252589832878,-3.2694701849389047,3.9716671245864594,-4.70162748643761,-3.06462358427715,-1.79717586649551
Argentina,-2.27384528060624,3.662782710829952,447782,159146,37.16833191151051,-2.3156229941130655,4.994984550568914,-4.72737819025522,-2.0109689213894,0.29411764705883
Saint Vincent and the Grenadines,-1.4073558481823667,3.678826492424073,40052,19146,49.81324278438031,-1.448434854446179,4.8736327823301275,-3.69515011547344,-1.46938775510204,1.12201963534362
Aruba,-1.5941324481402166,3.9203925064172553,10821,4957,41.035948618427135,-1.1936915088235796,5.294131890604022,-4.08719346049046,-0.961538461538462,1.11464968152866
Norway,-2.345554730132268,3.8810656089873374,627457,216374,39.02090501819248,-2.1161227634288333,4.9216305725074845,-5.01968503937008,-2.31213872832369,0.37593984962406
Turkmenistan,-0.869876952821365,3.599331596733476,101406,51486,39.009624677040804,-0.511412971230758,4.375106906724348,-3.48675034867503,-0.45662100456621,1.77304964539007
Armenia,-3.7041717779747985,3.810897661342502,324231,149157,36.967686618491136,-3.7324341311526488,5.757593898075368,-6.27400768245839,-3.93351800554017,-1.11607142857143
San Marino,-1.101588645121976,3.642578605381805,3015,1588,39.48922056384743,-1.067121073083204,4.6346247709691735,-3.13315926892951,-1.25,1.12540192926045
Indonesia,-3.61086484915675,3.473342103571584,1727496,450061,37.50881044008206,-3.5864523731719253,5.222199960148446,-5.85241730279898,-3.79746835443038,-1.42450142450142
Ireland,-1.6255830725386091,3.775005252560847,1340977,474318,39.90826091722677,-1.5443288825615344,4.86568388013633,-4.06779661016949,-1.38888888888888,0.97087378640776
Saudi Arabia,-3.3488322695870956,3.294445327654833,3328098,1006178,35.741207139933984,-3.394279835954567,5.124402353384575,-5.51181102362205,-3.36605890603086,-1.29032258064517
Lesotho,-1.297994902532458,3.903135974811007,31319,16327,41.79411858616176,-1.533630472969938,5.210355806724382,-4.29141716566866,-0.98280098280099,1.86915887850467
Grenada,-2.6627706667473108,4.30884988379753,54022,24239,41.15378919699382,-2.614420071870874,5.574489888638027,-6.11979166666667,-2.41691842900302,0.649350649350646
Canada,-1.65598722814687,3.6432651521477406,3181368,1168615,40.98249243721569,-1.527955896323438,4.69849114115904,-3.99305555555555,-1.41592920353982,0.7532956685499
Monaco,-1.91528637727349,4.261264300841462,213942,95510,43.94910770208748,-1.7891663215504467,5.303218660743105,-4.9103663289166,-1.74613834788449,0.977198697068404
Morocco,-2.714876137145562,4.130133758152484,335863,128814,39.5138791709715,-2.7163050089383027,5.6898260576334385,-5.5793991416309,-2.5974025974026,0.34423407917384
Dominican Republic,-2.738304110335195,3.8353559450350523,119046,42569,41.587621591653644,-2.530065793342331,5.343246908055834,-5.43130990415335,-2.73972602739727,0.0
Liberia,-1.5905888108562907,3.654194528543709,150788,72728,41.25288484494787,-1.552675190781056,4.78677116694755,-3.95778364116095,-1.35574837310195,0.91185410334347
Tunisia,-5.086927725563003,3.7347034345289445,474444,129701,39.78701385200361,-5.038868479161052,6.0131953788159205,-7.4424898511502,-5.66631689401889,-3.01369863013699
