,ActorCountry,MentionsCountry,avg_tone,stddev_tone,count,avg_conf,avg_weighted_tone,std_weighted_tone
0,Australia,United States,-2.2955088766480083,3.7605281693134014,1718753,40.8452174338023,-2.2097102955355776,5.090132450466358
1,Botswana,Zimbabwe,-3.025112428938101,3.9406468510317447,6024,41.288180610889775,-2.881244518939989,4.791773360826965
2,Jordan,India,-2.7938915926194654,3.9005920463483803,39125,42.26964856230032,-2.6968115872419327,5.251745777355241
3,Bangladesh,Pakistan,-5.463326110231395,4.211353723580311,30729,41.78788766311953,-5.622934598524267,7.031980191232324
4,Syria,Armenia,-3.194736789569549,3.5514365611547034,19779,37.52313059305324,-3.2904313730083654,5.248872596993908
5,Turkey,Thailand,-4.995213799875647,3.0457579653648548,8794,37.75073914032295,-5.171095225766957,5.674619201671325
6,Philippines,Argentina,-2.0780547199888426,3.179500281931105,184,28.315217391304348,-2.314508580273389,4.457438659728394
7,Germany,Guam,-2.9980168003273593,2.9756901264859006,255,36.509803921568626,-3.0095624543373973,4.32293248961382
8,India,China,-1.7012690349398483,4.221134715743853,16763,38.9810893038239,-1.9524117860835228,5.898896436525745
9,Jordan,South Africa,-4.019389844992662,3.410674327987403,6445,37.83397982932506,-3.8375891412875593,5.127115636260102
10,Japan,South Korea,-1.4596371906727545,2.7791183894106886,57296,42.2638578609327,-1.541907826073018,3.713106354833056
11,Serbia,Australia,-5.335186068351553,3.2894731007435993,5791,33.15834916249352,-5.319938606505614,6.457590037139156
12,Philippines,Ireland,-4.901858423395046,3.9290024221318287,3111,36.615236258437804,-4.806797761989746,5.909099571971571
13,Bahrain,Jordan,-2.2547700931241295,4.702035673552568,717,37.82426778242678,-2.106022573117967,6.012835807611141
14,Mexico,New Zealand,-3.1512767729671993,3.6779719088603557,8024,38.51196410767697,-3.40614608063013,5.653703519766446
15,Egypt,Uganda,-2.8747866822176222,4.067233234328971,2770,38.75812274368231,-2.7160032150704514,5.525746465423608
16,Niger,Libya,-3.974475823660342,3.098208525149177,52,31.923076923076923,-3.5269062194816705,3.5572389686844565
17,Russia,Latvia,-1.3651723073618,2.3545770319227777,7513,35.31744975376015,-1.3976389814720875,3.300588217875356
18,Australia,North Korea,-2.5391420266324705,2.7888976638906953,886,31.783295711060948,-2.525765800936119,4.239453030421599
19,Iraq,Bangladesh,-4.727044678290394,2.7176045676546394,13574,39.7524679534404,-4.862807854459396,5.0916068927421945
