country,type,cluster,avg_tone,std_tone,count_mentions
Egypt,EDU,0,-2.0517671489953777,3.9043832458610486,2060
Egypt,MIL,1,-4.9991644940099675,3.0681196776421817,10367
Russia,ELI,2,-2.776622782518009,3.2960634824095942,6570
Malaysia,GOV,2,-3.429702115414616,3.2827198721302717,47124
Libya,COP,0,-4.7925968495886275,2.9340220122011083,1178
Somalia,MIL,2,-6.575220685133433,3.1862144545607833,6321
Somalia,OPP,0,-8.203720946129387,2.047548016289176,605
West Bank,BUS,0,-0.49865723066771916,3.7492614360433922,437
Israel,EDU,1,-2.4930558692739417,3.9174423804564578,3510
Mongolia,LEG,1,-0.8158235867011625,3.139254803304152,219
Cambodia,OPP,1,-5.2846738862901,3.9008952473064706,1912
Saudi Arabia,ELI,1,-3.173120888760724,3.2760291045946057,2184
North Korea,EDU,1,-3.507713954551735,2.604781131400555,1357
Somalia,SPY,2,-5.961720309855824,1.8362461293842398,972
Czech Republic,EDU,0,0.44592324795480504,2.451444156039899,294
Tunisia,COP,1,-7.614511393273422,2.594000864677925,3035
Colombia,MNC,1,-0.5448377437500771,1.811773159178858,34
Vietnam,REF,1,-3.3930545127963265,2.7649652779796203,808
Saint Vincent and the Grenadines,HLH,2,-4.593788616288513,4.5049040425697715,714
Cameroon,UAF,2,-6.5770826090376975,1.4955083952708752,130
United Arab Emirates,CVL,2,-0.2615133222478749,4.389024049006561,537
Central African Republic,HLH,1,-3.5785010773751105,2.1282431628522565,26
Denmark,?,1,-2.6738077366108457,3.768628181975246,137953
Brunei,?,2,-1.7425810447480437,2.4653054519316333,71518
Wallis and Futuna Islands,?,2,1.6167425506603834,2.3996042019949915,46
Zimbabwe,HLH,2,-4.500269453693236,4.105822076939144,322
Cuba,REB,2,-3.6186963079388508,2.0972580370380323,137
Afghanistan,LAB,2,-4.803905376309706,2.9906687447158387,447
Vietnam,AGR,2,-3.261115908689311,3.644147000903709,79
Ethiopia,REF,0,-4.210578189276555,3.607163240583369,161
Iceland,EDU,0,-1.5619673901181357,3.771298920551849,293
Palau,EDU,0,-1.46487294469358,0.0,1
Congo,BUS,1,0.05710958714716745,2.0778887493206817,54
Qatar,OPP,1,-1.8415535823565692,2.7866829187381743,13
Mauritius,EDU,1,-0.21342651646466904,5.184099339523547,26
Somalia,EDU,1,-3.8798782463976598,3.588408407856976,133
Thailand,SEP,0,-6.393404209729305,0.45520152865755714,20
Panama,CRM,0,-4.083018721550665,2.5411951158450177,40
Serbia,CVL,0,-3.7546095647818145,3.943618417140662,207
Argentina,SPY,1,-6.131064318720746,2.932815019948251,77
Ecuador,EDU,2,1.3939105545867663,1.3435814188517494,598
Morocco,LEG,2,-2.5582146558038215,2.888262916044197,296
Tonga,REF,0,1.8763696213363488,1.201249001454193,8
Trinidad and Tobago,LEG,0,0.5581797564359112,4.609875555339011,76
Cuba,SEP,0,-0.7171851030849258,0.5509004426534619,7
Switzerland,REF,1,-6.617951804259592,2.5310530725126053,291
Nauru,OPP,0,-4.9204776392699685,1.1938103162275333,84
Cambodia,CRM,2,-5.360087419683124,1.2772390423990132,165
Mozambique,AGR,0,2.0695836545748274,2.6454465844170407,7
Vanuatu,HLH,1,-1.2210897268368517,4.626901919290092,5
El Salvador,REF,0,-3.5085714536606396,1.617402366411393,12
Australia,NGO,2,-0.9580342684398574,2.8805037097060993,8
El Salvador,HRI,1,-5.802508435762462,0.31822486849654125,20
Kenya,RAD,1,-8.69674451521586,1.2729899247419043,3
Jamaica,REB,1,-2.729044834308,0.0,1
Sri Lanka,SPY,0,-3.9387545311908303,0.8656603365254603,4
Congo,REF,0,-4.252753899224806,2.919293980325128,14
Saint Vincent and the Grenadines,AGR,0,2.356775120910274,2.15745786521871,7
Burundi,IGO,2,-3.0266363100829494,0.4984150628890281,5
Ecuador,AGR,0,-0.49689440993789,0.0,1
Portugal,REB,0,-6.605578778188152,1.1256575869340315,50
Lithuania,REF,2,-0.40101320680873004,1.8802228304978865,2
Bhutan,ENV,2,-1.019141663895448,0.40762112412010254,5
Moldova,REF,0,-2.1004942339374,0.0,4
Switzerland,GOV,1,-2.4308214336002543,3.584724117164031,16411
Iraq,CVL,1,-5.2172204346818765,2.7623134133493217,11841
United Kingdom,CRM,0,-4.5809588559625665,4.416165756372059,1381
Kenya,UAF,2,-7.807764964756362,2.920363918555258,941
Tunisia,LEG,1,-6.031028760684044,3.2994321822287596,516
Albania,COP,0,-5.458989894836433,3.602157629662019,236
Italy,BUS,0,-0.3507683798283947,3.397198876824652,5417
Nicaragua,CRM,0,-1.4226352272380873,3.413113787247694,17
Switzerland,JUD,1,-5.5303529754790395,3.6806433738114417,2397
Spain,JUD,1,-5.462801677303792,2.8553526212488953,8034
Iraq,REF,1,-5.060124597535769,2.5046966976303064,5173
Hungary,MIL,1,-3.2190669629942303,3.3898077227039516,318
Israel,HRI,2,-5.551116074042715,2.6369771472448513,1470
Costa Rica,MED,0,1.2286229852499495,3.1211087127936956,43
Jamaica,MIL,0,-0.9789380538341818,4.244121291815174,133
Ghana,HLH,0,-1.811828296514747,3.8813441351431526,109
Somalia,CVL,0,-4.895382255968201,2.9828802690779304,3117
Cambodia,MED,1,-3.7466859041326765,3.1692231017137313,473
Guatemala,CVL,2,-4.25345166661962,4.91518307347805,610
Latvia,MIL,2,-1.0701731505074337,2.937675049610274,183
North Korea,OPP,1,-4.716292648285278,2.5866925410563857,1974
Moldova,EDU,2,-2.8801378590014575,1.646261183729737,60
Spain,?,1,-3.1674430024653875,3.6338300265792025,522865
Bolivia,?,1,-2.2147479580697977,3.3145750938188434,59542
Saint Kitts and Nevis,?,0,0.3191302739358294,3.789347010459886,3748
Kazakhstan,CVL,0,-2.8094373999848523,3.9209472591650987,310
Fiji,BUS,2,1.3243344801507497,3.3771688704574996,261
United Kingdom,SET,2,-1.3296735986041945,2.6941216067309317,72
Vietnam,REF,0,-3.069301087348148,2.788540674951094,824
Denmark,LAB,0,-0.0436236282938006,2.718773433106898,56
Mali,BUS,0,-1.0659137012450912,4.33410207785604,48
Suriname,MED,1,-6.064674460337007,2.864627382562716,28
Czech Republic,OPP,2,-4.492181266975434,3.798683885772526,29
France,ENV,2,0.7727421533241242,2.0491344145234596,79
South Sudan,SPY,1,-5.349463116631178,1.8396584596622094,96
Tonga,MED,1,-0.6339129134435844,3.1819254210824126,25
South Africa,REB,1,-3.8786506169527186,2.717229750346645,44
Malawi,BUS,2,-0.7840729118378394,3.723358149588541,88
Mozambique,OPP,1,-3.6519390382965624,4.875888159297535,42
Russia,ENV,1,-2.156836225395163,1.0637863644225842,10
Thailand,NGO,1,-1.361968724187882,4.504519164120835,10
Qatar,RAD,0,0.3615058588880551,6.223103808497914,2
Tonga,LAB,1,1.0781026758104335,3.293874132135129,12
Poland,IGO,0,-5.73065902578796,0.0,2
Paraguay,EDU,0,1.5025899421213265,2.4502496427222513,33
Canada,ENV,2,-2.0200934753834394,1.3314738444993548,15
Iran,ENV,2,-5.71428571428572,0.0,4
Botswana,ENV,0,-1.33426966292135,0.0,1
Central African Republic,LAB,2,-9.780949640744629,0.8948415375832178,39
Luxembourg,CRM,1,-5.43933054393306,0.0,1
Guinea,AGR,0,-3.5229891263097524,4.286453813966555,8
Aruba,MED,0,-0.18391571603657927,1.9940590795846396,14
Togo,REB,2,-4.95049504950495,0.0,2
Slovak Republic,CRM,2,-6.9666382755677825,0.1905997846659801,12
Bahamas,HLH,1,-5.130691098449921,2.755073964498111,9
Saint Lucia,CVL,1,2.486961079204339,2.3352461331119287,5
Djibouti,SEP,2,-2.38439306358381,0.0,2
Saint Vincent and the Grenadines,HRI,2,-3.44827586206897,0.0,2
Morocco,SET,0,-5.03472222222223,0.0,1
Egypt,GOV,0,-3.2679129813307415,3.6191464460496494,56504
Canada,BUS,2,-0.16356618264918626,3.2066417131617335,5959
Rwanda,JUD,2,-10.457085485464193,6.146855986732921,708
Jordan,MIL,0,-3.2823755642347927,3.8157864946612867,1338
Nicaragua,GOV,1,-1.822323543542056,2.536508687015108,11443
Pakistan,SEP,0,-3.7019482345961485,3.136308532963276,2107
Seychelles,GOV,2,0.6859407775425194,3.717790090048795,1193
United Kingdom,MED,0,-2.1668030338562576,3.398538113516285,18925
Mongolia,BUS,0,1.1078526108544744,2.433103411450184,117
Saudi Arabia,HLH,2,-5.414364393651023,3.4968290107796958,591
Bahrain,OPP,0,-6.536789301440022,3.1717392075076405,779
Oman,COP,0,-4.539633356082451,4.553168463057437,206
Syria,COP,2,-5.961734369032646,3.1576950832093074,3312
Uruguay,MED,2,-2.1325313858874084,1.8327991584280774,242
Gambia,JUD,2,-6.91426446184469,3.260734665654033,1306
Lebanon,CRM,0,-3.704701212503295,4.268874653159041,168
Brazil,MED,0,-3.136468167084068,3.766604310376999,1526
Mali,COP,1,-4.9955791402918,2.3159988989718907,1467
Belize,MED,0,-5.563419250717907,5.310675521682448,41
Switzerland,LAB,2,-2.7819910704503683,2.2057718013982925,73
Greece,AGR,2,-7.0226951021325545,4.361053977381758,955
South Sudan,UAF,2,-6.033454133849873,3.107481328051246,459
Mauritius,GOV,1,0.0660468451484199,2.9403359202929806,1964
Cambodia,LEG,2,-3.4421770977347754,4.211365810912571,536
Cayman Islands,BUS,0,-0.5190985985349911,3.131582143193084,137
North Korea,ELI,1,-4.732534118306468,3.1412590028717173,910
Maldives,BUS,2,-0.7950243185946734,2.7059730027609086,364
Benin,?,1,-2.3853345472970116,4.100400374842571,17017
San Marino,?,1,-0.9473484159637174,3.2501281465358556,665
Saint Helena,?,2,-0.5326089126766858,2.44210978986611,1173
Norway,MIL,0,-0.8704946301310309,3.321389539445734,699
Tonga,GOV,2,-2.8930935153212447,3.868128528613472,688
Thailand,SPY,1,-0.814442004200964,3.432177457359558,46
Thailand,REF,2,-4.302043748913894,3.302178079031766,257
Bulgaria,REB,1,-0.9026444996448214,2.700984966430609,7
Malaysia,HRI,1,-4.225539121310321,2.537226306921866,25
Benin,MED,1,-2.1461899584082045,3.854514554627581,40
West Bank,SPY,1,-4.207665630164675,4.209041899785518,80
Brazil,UAF,2,-5.712960998913738,4.056476855055336,90
Ivory Coast,LEG,1,-2.7692874378012875,4.930010525702644,14
Uganda,CVL,0,-2.4060413045528812,3.43759292737285,673
Bangladesh,SPY,2,-6.151860582782007,1.339924574034053,190
Papua New Guinea,LAB,0,-5.221927609475312,0.6183268743999545,79
Paraguay,COP,2,-4.742383182627497,2.6426273070968875,100
Peru,LAB,1,-3.3313182186110204,2.242040304444842,20
Vanuatu,ELI,2,0.1441746794438288,1.4676566156909023,16
Antigua and Barbuda,LAB,0,-1.7318425062330942,2.876946732419374,19
Peru,AGR,1,-1.4000093367985023,3.0315090323977474,19
Rwanda,UAF,2,-7.800244212735541,3.0177166830075106,43
Togo,COP,0,-5.334500244396337,2.981067424465257,35
Guinea-Bissau,CVL,1,1.5002565334251656,3.7488894027718094,11
Yemen,HRI,0,-6.639589142757773,1.8964506003993757,16
United Kingdom,SEP,2,-3.744660224536388,1.1997756885286694,5
Honduras,REF,0,-5.265279558879936,4.610609071537502,5
Lebanon,HRI,1,-10.717728557362678,3.0432206115532328,16
Kiribati,JUD,2,-4.22836867773829,0.9923458907591104,17
Austria,UAF,2,-5.506673915853673,3.0454356391574287,17
Iraq,SEP,0,-3.640610871197937,2.754233768489276,6
Nicaragua,LAB,2,2.11960635881907,0.0,2
Bermuda,AGR,1,0.0,0.0,2
Zambia,REB,0,-0.18954065030833667,0.5292280048291471,3
Aruba,ELI,0,2.07792207792208,0.0,1
Morocco,SET,2,-1.5802625558723136,5.754605153785305,3
Vanuatu,REF,2,-3.353246293286001,0.12014634461741186,7
Malaysia,ENV,2,-2.9949702789209,0.0,1
India,GOV,0,-2.059212875449507,3.798126922126675,17663
Gambia,MIL,1,-1.8228426394546913,2.0924621725571546,646
Zimbabwe,MED,1,-4.268449940931916,3.145223255713841,1006
Kenya,COP,0,-6.7089610020069435,3.1308246326707097,3950
Taiwan,MIL,0,-2.071742184504653,2.012635943351843,965
Iran,MED,0,-2.9549029089645655,2.6390215019622367,10237
Turkmenistan,GOV,0,0.9536741840697813,3.101910984598404,3906
Iraq,CVL,2,-5.249586462742205,2.644196824378722,13342
Germany,HLH,2,-4.538879956848443,4.246945587179192,1008
Qatar,BUS,0,2.009170902169155,3.388748356274871,16900
West Bank,EDU,2,-4.173353002092863,5.931891113025774,4873
Mexico,CVL,1,-3.3699225464406273,3.087971757539056,8077
Slovak Republic,GOV,0,-2.126164489466059,3.264340769287328,4621
Finland,JUD,2,-8.360003161448496,4.956338734654595,813
Pakistan,HLH,0,-6.487807386299227,3.5440975701053308,1504
Russia,HLH,0,-3.5968365512797007,3.377386739656356,506
Senegal,EDU,0,0.5203610200236948,2.609232477453343,89
Hungary,MIL,2,-3.375755345211031,3.32396083349077,487
Sudan,MIL,1,-5.350056459031759,3.3870177639694976,977
Jordan,BUS,0,-1.8165169122638125,4.063962355577462,1012
Nepal,ELI,2,-0.5124269615657565,3.7626496235694527,253
Iran,EDU,1,-3.1900062112472294,2.5893091906245402,2867
Mali,UAF,0,-4.640743624878517,2.492793520868735,1022
Latvia,CVL,2,-2.6049459917765496,4.365498440909268,118
Uganda,JUD,1,-6.257056357943101,3.1355788896472236,780
Jamaica,HLH,2,-5.639665605643432,3.713502388595986,827
Vatican City,LEG,0,-0.25954509700224876,1.6128984985597785,309
Iran,?,2,-2.966161850329684,2.8354476323675897,1700403
Nigeria,?,0,-3.4344789279221235,4.068510764355498,235743
Czech Republic,?,2,-2.7432120986977564,3.5509302693640925,114452
Mexico,MED,2,-3.584026388596471,3.126641101613125,5865
Lesotho,LEG,0,-2.57820391878085,1.6307893158776237,63
Maldives,OPP,2,-7.57903119550136,3.1307708761582065,890
