GlobalEventID. (integer);Day. (integer);MonthYear. (integer);Year. (integer);FractionDate. (floating point;Actor1Code. (string);Actor1Name. (string);Actor1CountryCode. (string);Actor1KnownGroupCode. (string);Actor1EthnicCode. (string);Actor1Religion1Code. (string);Actor1Religion2Code. (string);Actor1Type1Code. (string);Actor1Type2Code. (string);Actor1Type3Code. (string);Actor2Code. (string);Actor2Name. (string);Actor2CountryCode. (string);Actor2KnownGroupCode. (string);Actor2EthnicCode. (string);Actor2Religion1Code. (string);Actor2Religion2Code. (string);Actor2Type1Code. (string);Actor2Type2Code. (string);Actor2Type3Code. (string);IsRootEvent. (integer);EventCode. (string);EventBaseCode. (string);EventRootCode. (string);QuadClass. (integer);GoldsteinScale. (floating point;NumMentions. (integer);NumSources. (integer);NumArticles. (integer);AvgTone. (numeric);Actor1Geo_Type. (integer);Actor1Geo_Fullname. (string);Actor1Geo_CountryCode. (string);Actor1Geo_ADM1Code. (string);Actor1Geo_ADM2Code. (string);Actor1Geo_Lat. (floating point;Actor1Geo_Long. (floating point;Actor1Geo_FeatureID. (string);Actor2Geo_Type. (integer);Actor2Geo_Fullname. (string);Actor2Geo_CountryCode. (string);Actor2Geo_ADM1Code. (string);Actor2Geo_ADM2Code. (string);Actor2Geo_Lat. (floating point;Actor2Geo_Long. (floating point;Actor2Geo_FeatureID. (string);ActionGeo_Type. (integer);ActionGeo_Fullname. (string);ActionGeo_CountryCode. (string);ActionGeo_ADM1Code. (string);ActionGeo_ADM2Code. (string);ActionGeo_Lat. (floating point;ActionGeo_Long. (floating point;ActionGeo_FeatureID. (string);DATEADDED. (integer);SOURCEURL. (string)
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;5,90E+01;60
707237036;20161115;201611;2016;2016.8630;;;;;;;;;;;KOR;SOUTH KOREA;KOR;;;;;;;;0;841;84;8;2;7.0;4;1;4;-3.40537000654879;0;;;;;;;;1;South Korea;KS;KS;;37;127.5;KS;1;South Korea;KS;KS;;37;127.5;KS;2,02E+13;https://filmschoolrejects.com/justice-league-fetishizing-longer-cuts/
707237037;20161115;201611;2016;2016.8630;;;;;;;;;;;USA;UNITED STATES;USA;;;;;;;;1;173;173;17;4;-5.0;1;1;1;-9.69162995594715;0;;;;;;;;3;North Salem, New York, United States;US;USNY;;41.3348;-73.5712;958905;3;North Salem, New York, United States;US;USNY;;41.3348;-73.5712;958905;2,02E+13;https://www.theepochtimes.com/illegal-immigrant-charged-in-brutal-murder-of-mcdonalds-millionaire_2358621.html
707237038;20161115;201611;2016;2016.8630;;;;;;;;;;;USA;UNITED STATES;USA;;;;;;;;1;173;173;17;4;-5.0;1;1;1;-9.69162995594715;0;;;;;;;;3;North Salem, New York, United States;US;USNY;;41.3348;-73.5712;958905;3;Westchester County, New York, United States;US;USNY;;41.1168;-73.7996;974157;2,02E+13;https://www.theepochtimes.com/illegal-immigrant-charged-in-brutal-murder-of-mcdonalds-millionaire_2358621.html
707237039;20161115;201611;2016;2016.8630;BUS;BUSINESS;;;;;;BUS;;;;;;;;;;;;;0;43;43;4;1;2.8;10;1;10;3.18275154004107;4;Cainiao, China (general), China;CH;CH00;13274;29.4317;103.66;10407841;0;;;;;;;;4;Cainiao, China (general), China;CH;CH00;13274;29.4317;103.66;10407841;2,02E+13;http://business.scoop.co.nz/2017/11/16/nz-brands-perform-well-in-alibabas-global-shopping-festival/
707237040;20161115;201611;2016;2016.8630;CAN;CANADA;CAN;;;;;;;;;;;;;;;;;;0;173;173;17;4;-5.0;2;1;2;-5.60224089635855;4;Cape Breton, Nova Scotia, Canada;CA;CA07;12622;45.95;-59.7833;-561613;0;;;;;;;;4;Cape Breton, Nova Scotia, Canada;CA;CA07;12622;45.95;-59.7833;-561613;2,02E+13;http://leaderpost.com/pmn/news-pmn/canada-news-pmn/the-wednesday-news-briefing-an-at-a-glance-survey-of-some-top-stories-22/wcm/1af53951-9e4b-4587-85b3-b6a6604e466a
707237041;20161115;201611;2016;2016.8630;CAN;CANADA;CAN;;;;;;;;;;;;;;;;;;0;173;173;17;4;-5.0;2;1;2;-5.60224089635855;4;Cape Breton, Nova Scotia, Canada;CA;CA07;12622;45.95;-59.7833;-561613;0;;;;;;;;3;Boston, Massachusetts, United States;US;USMA;MA025;42.3584;-71.0598;617565;2,02E+13;http://leaderpost.com/pmn/news-pmn/canada-news-pmn/the-wednesday-news-briefing-an-at-a-glance-survey-of-some-top-stories-22/wcm/1af53951-9e4b-4587-85b3-b6a6604e466a
707237042;20161115;201611;2016;2016.8630;CHE;BALE;CHE;;;;;;;;;;;;;;;;;;1;61;61;6;2;6.4;10;1;10;-0.485436893203884;4;Mumbai, Maharashtra, India;IN;IN16;70184;18.975;72.8258;-2092174;0;;;;;;;;4;Mumbai, Maharashtra, India;IN;IN16;70184;18.975;72.8258;-2092174;2,02E+13;http://www.cottongrower.com/international/first-estimate-of-indias-new-season-cotton-crop-revealed/
707237043;20161115;201611;2016;2016.8630;CVL;COMMUNITY;;;;;;CVL;;;USA;NEW YORK CITY;USA;;;;;;;;1;46;46;4;1;7.0;10;1;10;1.62297128589263;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2,02E+13;https://investorplace.com/2017/11/can-target-get-back-to-80/
707237044;20161115;201611;2016;2016.8630;GOV;GOVERNOR;;;;;;GOV;;;MED;SPOKESMAN;;;;;;MED;;;0;129;129;12;3;-5.0;6;1;6;-0.28571428571428;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2,02E+13;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html
707237045;20161115;201611;2016;2016.8630;GOV;GOVERNOR;;;;;;GOV;;;USA;UNITED STATES;USA;;;;;;;;0;129;129;12;3;-5.0;2;1;2;-0.28571428571428;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2,02E+13;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html
707237046;20161115;201611;2016;2016.8630;GOV;GOVERNOR;;;;;;GOV;;;USAMED;UNITED STATES;USA;;;;;MED;;;0;129;129;12;3;-5.0;2;1;2;-0.28571428571428;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2,02E+13;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html
707237047;20161115;201611;2016;2016.8630;RUS;RUSSIA;RUS;;;;;;;;VEN;VENEZUELA;VEN;;;;;;;;0;331;33;3;1;5.2;2;1;2;-2.37717908082409;4;Moscow, Moskva, Russia;RS;RS48;25106;55.7522;37.6156;-2960561;4;Moscow, Moskva, Russia;RS;RS48;25106;55.7522;37.6156;-2960561;4;Moscow, Moskva, Russia;RS;RS48;25106;55.7522;37.6156;-2960561;2,02E+13;https://www.infowars.com/venezuela-signs-3-2-billion-debt-restructuring-deal-with-russia/
707237048;20161115;201611;2016;2016.8630;USA;MINNESOTA;USA;;;;;;;;;;;;;;;;;;1;20;20;2;1;3.0;2;1;2;2.8169014084507;2;Minnesota, United States;US;USMN;;45.7326;-93.9196;MN;0;;;;;;;;2;Wisconsin, United States;US;USWI;;44.2563;-89.6385;WI;2,02E+13;http://www.wbay.com/content/news/Promising-Deer-Season-Outlook-457797083.html
707237049;20161115;201611;2016;2016.8630;USA;UNITED STATES;USA;;;;;;;;;;;;;;;;;;0;20;20;2;1;3.0;1;1;1;-0.28571428571428;2;Wisconsin, United States;US;USWI;;44.2563;-89.6385;WI;0;;;;;;;;2;Indiana, United States;US;USIN;;39.8647;-86.2604;IN;2,02E+13;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html
707237050;20161115;201611;2016;2016.8630;USA;UNITED STATES;USA;;;;;;;;;;;;;;;;;;0;20;20;2;1;3.0;1;1;1;-0.28571428571428;2;Wisconsin, United States;US;USWI;;44.2563;-89.6385;WI;0;;;;;;;;1;Russia;RS;RS;;60;100;RS;2,02E+13;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html
707237051;20161115;201611;2016;2016.8630;USA;UNITED STATES;USA;;;;;;;;;;;;;;;;;;1;115;115;11;3;-2.0;6;1;6;-5.12820512820513;3;Anderson County, Tennessee, United States;US;USTN;TN001;36.1167;-84.2166;1639722;0;;;;;;;;3;Anderson County, Tennessee, United States;US;USTN;;36.1167;-84.2166;1639722;2,02E+13;http://www.johnsoncitypress.com/State/2017/11/15/Man-files-lawsuit-challenging-Tennessee-counseling-law.html
707237052;20161115;201611;2016;2016.8630;USA;UNITED STATES;USA;;;;;;;;;;;;;;;;;;1;115;115;11;3;-2.0;2;1;2;-5.12820512820513;2;Tennessee, United States;US;USTN;;35.7449;-86.7489;TN;0;;;;;;;;2;Tennessee, United States;US;USTN;;35.7449;-86.7489;TN;2,02E+13;http://www.johnsoncitypress.com/State/2017/11/15/Man-files-lawsuit-challenging-Tennessee-counseling-law.html
707237053;20161115;201611;2016;2016.8630;USA;NEW YORK CITY;USA;;;;;;;;CVL;COMMUNITY;;;;;;CVL;;;1;46;46;4;1;7.0;10;1;10;1.62297128589263;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2;New York, United States;US;USNY;;42.1497;-74.9384;NY;2,02E+13;https://investorplace.com/2017/11/can-target-get-back-to-80/
707237054;20161115;201611;2016;2016.8630;USA;UNITED STATES;USA;;;;;;;;JUD;ATTORNEY;;;;;;JUD;;;1;16;16;1;1;-2.0;2;1;2;-9.69162995594715;3;North Salem, New York, United States;US;USNY;NY119;41.3348;-73.5712;958905;3;Westchester County, New York, United States;US;USNY;;41.1168;-73.7996;974157;3;North Salem, New York, United States;US;USNY;;41.3348;-73.5712;958905;2,02E+13;https://www.theepochtimes.com/illegal-immigrant-charged-in-brutal-murder-of-mcdonalds-millionaire_2358621.html
707237055;20171016;201710;2017;2017.7836;DEU;BRUNSWICK;DEU;;;;;;;;;;;;;;;;;;1;60;60;6;2;6.0;5;1;5;-0.75757575757575;0;;;;;;;;0;;;;;;;;0;;;;;;;;2,02E+13;https://www.wwaytv3.com/2017/11/15/brunswick-county-families-can-apply-for-heating-assistance/
707237056;20171016;201710;2017;2017.7836;GBR;UNITED KINGDOM;GBR;;;;;;;;AUS;AUSTRALIA;AUS;;;;;;;;1;90;90;9;2;-2.0;2;1;2;-0.67567567567567;4;Heathrow, Hillingdon, United Kingdom;UK;UKF9;40133;51.4667;-0.45;-2598406;4;Heathrow, Hillingdon, United Kingdom;UK;UKF9;40133;51.4667;-0.45;-2598406;4;Heathrow, Hillingdon, United Kingdom;UK;UKF9;40133;51.4667;-0.45;-2598406;2,02E+13;https://newsline.com/search-underway-for-british-explorer-missing-in-papua-new-guinea/
707237057;20171016;201710;2017;2017.7836;GBR;UNITED KINGDOM;GBR;;;;;;;;AUS;AUSTRALIA;AUS;;;;;;;;1;90;90;9;2;-2.0;2;1;2;-0.67567567567567;1;Papua New Guinea;PP;PP;;-6;147;PP;1;Papua New Guinea;PP;PP;;-6;147;PP;4;Heathrow, Hillingdon, United Kingdom;UK;UKF9;40133;51.4667;-0.45;-2598406;2,02E+13;https://newsline.com/search-underway-for-british-explorer-missing-in-papua-new-guinea/
707237058;20171016;201710;2017;2017.7836;KOR;SOUTH KOREA;KOR;;;;;;;;LEG;CONGRESS;;;;;;LEG;;;0;13;13;1;1;0.4;2;1;2;4.03397027600849;1;South Korea;KS;KS;;37;127.5;KS;4;Beijing, Beijing, China;CH;CH22;13001;39.9289;116.388;-1898541;1;South Korea;KS;KS;;37;127.5;KS;2,02E+13;http://www.chinadaily.com.cn/world/2017-11/16/content_34589436.htm
707237059;20171016;201710;2017;2017.7836;LEG;LAWMAKER;;;;;;LEG;;;GOV;PRESIDENT;;;;;;GOV;;;1;51;51;5;1;3.4;6;1;6;-3.33333333333333;2;Indiana, United States;US;USIN;;39.8647;-86.2604;IN;2;Indiana, United States;US;USIN;;39.8647;-86.2604;IN;2;Indiana, United States;US;USIN;;39.8647;-86.2604;IN;2,02E+13;http://www.insideindianabusiness.com/story/36851830/merritt-companies-relaxing-rules-to-deal-with-opioid-issue
