GlobalEventID. (integer);EventTimeDate. (integer);MentionTimeDate. (integer);MentionType. (integer);MentionSourceName. (integer);MentionIdentifier. (integer);SentenceID. (integer);Actor1CharOffset. (integer);Actor2CharOffset. (integer);ActionCharOffset. (integer);InRawText. (integer);Confidence. (integer);MentionDocLen. (integer);MentionDocTone. (integer);MentionDocTranslationInfo. (string);Extras. (string)
0;1,00E+00;2,00E+00;3;4;5;6;7;8;9;10;11;12;13;14;15
707234086;2,02E+13;2,02E+13;1;chron.com;http://www.chron.com/entertainment/preview/article/Must-List-Pitbull-and-Iglesias-party-Houston-12360525.php;4;-1;2107;2077;1;40;3532;3.09810671256455;;
707234086;2,02E+13;2,02E+13;1;chron.com;http://www.chron.com/life/article/Must-List-Pitbull-and-Iglesias-party-Houston-12360525.php;4;-1;2107;2077;1;40;3532;3.09810671256455;;
599009538;2,02E+13;2,02E+13;1;indiatimes.com;https://timesofindia.indiatimes.com/india/india-led-solar-alliance-to-add-1000gw-of-energy-by-2030/articleshow/61665846.cms;9;-1;1672;1613;1;80;2226;3.7940379403794;;
707237036;2,02E+13;2,02E+13;1;filmschoolrejects.com;https://filmschoolrejects.com/justice-league-fetishizing-longer-cuts/;11;-1;6026;6199;0;40;8543;-3.40537000654879;;
707052604;2,02E+13;2,02E+13;1;stroudnewsandjournal.co.uk;http://www.stroudnewsandjournal.co.uk/news/national/15661921.Concern_grows_as_explorer_Benedict_Allen_goes_missing_in_Papua_New_Guinea/;5;-1;1036;1112;0;20;3452;-1.08191653786708;;
707052604;2,02E+13;2,02E+13;1;somersetcountygazette.co.uk;http://www.somersetcountygazette.co.uk/news/national/15661921.Concern_grows_as_explorer_Benedict_Allen_goes_missing_in_Papua_New_Guinea/;5;-1;1036;1112;0;20;3452;-1.08191653786708;;
707052604;2,02E+13;2,02E+13;1;northwichguardian.co.uk;http://www.northwichguardian.co.uk/news/national/15661921.Concern_grows_as_explorer_Benedict_Allen_goes_missing_in_Papua_New_Guinea/;5;-1;1036;1112;0;20;3452;-1.08191653786708;;
707052604;2,02E+13;2,02E+13;1;keighleynews.co.uk;http://www.keighleynews.co.uk/news/national/15661921.Concern_grows_as_explorer_Benedict_Allen_goes_missing_in_Papua_New_Guinea/;5;-1;1036;1112;0;20;3452;-1.08191653786708;;
707052604;2,02E+13;2,02E+13;1;dudleynews.co.uk;http://www.dudleynews.co.uk/news/national/15661921.Concern_grows_as_explorer_Benedict_Allen_goes_missing_in_Papua_New_Guinea/;5;-1;1036;1112;0;20;3452;-1.08191653786708;;
707052604;2,02E+13;2,02E+13;1;wiltshiretimes.co.uk;http://www.wiltshiretimes.co.uk/news/national/15661921.Concern_grows_as_explorer_Benedict_Allen_goes_missing_in_Papua_New_Guinea/;5;-1;1036;1112;0;20;3452;-1.08191653786708;;
707052604;2,02E+13;2,02E+13;1;epsomguardian.co.uk;http://www.epsomguardian.co.uk/news/national/15661921.Concern_grows_as_explorer_Benedict_Allen_goes_missing_in_Papua_New_Guinea/;5;-1;1036;1112;0;20;3452;-1.08191653786708;;
707052604;2,02E+13;2,02E+13;1;wiltsglosstandard.co.uk;http://www.wiltsglosstandard.co.uk/news/national/15661921.Concern_grows_as_explorer_Benedict_Allen_goes_missing_in_Papua_New_Guinea/;5;-1;1036;1112;0;20;3452;-1.08191653786708;;
707052604;2,02E+13;2,02E+13;1;bridportnews.co.uk;http://www.bridportnews.co.uk/news/national/15661921.Concern_grows_as_explorer_Benedict_Allen_goes_missing_in_Papua_New_Guinea/;5;-1;1036;1112;0;20;3452;-1.08191653786708;;
707052604;2,02E+13;2,02E+13;1;bridgwatermercury.co.uk;http://www.bridgwatermercury.co.uk/news/national/15661921.Concern_grows_as_explorer_Benedict_Allen_goes_missing_in_Papua_New_Guinea/;5;-1;1036;1112;0;20;3452;-1.08191653786708;;
707234087;2,02E+13;2,02E+13;1;chron.com;http://www.chron.com/entertainment/preview/article/Must-List-Pitbull-and-Iglesias-party-Houston-12360525.php;4;-1;2102;2077;0;40;3532;3.09810671256455;;
707234087;2,02E+13;2,02E+13;1;chron.com;http://www.chron.com/life/article/Must-List-Pitbull-and-Iglesias-party-Houston-12360525.php;4;-1;2102;2077;0;40;3532;3.09810671256455;;
707237037;2,02E+13;2,02E+13;1;theepochtimes.com;https://www.theepochtimes.com/illegal-immigrant-charged-in-brutal-murder-of-mcdonalds-millionaire_2358621.html;4;-1;368;612;0;10;2777;-9.69162995594715;;
707237038;2,02E+13;2,02E+13;1;theepochtimes.com;https://www.theepochtimes.com/illegal-immigrant-charged-in-brutal-murder-of-mcdonalds-millionaire_2358621.html;4;-1;349;578;0;10;2777;-9.69162995594715;;
599003069;2,02E+13;2,02E+13;1;investorplace.com;https://investorplace.com/2017/11/valeant-improvement-vrx-stock-price-high/;6;2742;-1;2785;1;50;4824;-0.74626865671641;;
707237039;2,02E+13;2,02E+13;1;scoop.co.nz;http://business.scoop.co.nz/2017/11/16/nz-brands-perform-well-in-alibabas-global-shopping-festival/;13;6062;-1;5981;1;100;6553;3.18275154004107;;
599006166;2,02E+13;2,02E+13;1;businessinsider.in;http://www.businessinsider.in/The-billionaire-founder-of-LinkedIn-was-one-of-Facebooks-early-investors-and-he-watched-CEO-Mark-Zuckerberg-overcome-the-most-spectacular-adaptation-curve/articleshow/61665967.cms;8;2134;2208;2151;1;100;3187;1.93798449612403;;
707237040;2,02E+13;2,02E+13;1;leaderpost.com;http://leaderpost.com/pmn/news-pmn/canada-news-pmn/the-wednesday-news-briefing-an-at-a-glance-survey-of-some-top-stories-22/wcm/1af53951-9e4b-4587-85b3-b6a6604e466a;8;2355;-1;2367;0;20;10973;-5.60224089635855;;
707237041;2,02E+13;2,02E+13;1;leaderpost.com;http://leaderpost.com/pmn/news-pmn/canada-news-pmn/the-wednesday-news-briefing-an-at-a-glance-survey-of-some-top-stories-22/wcm/1af53951-9e4b-4587-85b3-b6a6604e466a;8;2373;-1;2385;0;20;10973;-5.60224089635855;;
707237042;2,02E+13;2,02E+13;1;cottongrower.com;http://www.cottongrower.com/international/first-estimate-of-indias-new-season-cotton-crop-revealed/;3;534;-1;487;1;100;1245;-0.485436893203884;;
598999037;2,02E+13;2,02E+13;1;investorplace.com;https://investorplace.com/2017/11/can-target-get-back-to-80/;1;946;988;956;1;100;4850;1.62297128589263;;
707237043;2,02E+13;2,02E+13;1;investorplace.com;https://investorplace.com/2017/11/can-target-get-back-to-80/;1;946;988;920;1;100;4850;1.62297128589263;;
707093535;2,02E+13;2,02E+13;1;hellenicshippingnews.com;http://www.hellenicshippingnews.com/poland-buys-iran-oil-as-sour-crude-flows-tighten/;3;1712;1613;1590;1;60;1886;-6.08974358974359;;
707093536;2,02E+13;2,02E+13;1;hellenicshippingnews.com;http://www.hellenicshippingnews.com/poland-buys-iran-oil-as-sour-crude-flows-tighten/;3;1732;1613;1590;0;40;1886;-6.08974358974359;;
707234090;2,02E+13;2,02E+13;1;chron.com;http://www.chron.com/entertainment/preview/article/Must-List-Pitbull-and-Iglesias-party-Houston-12360525.php;4;2107;-1;2077;1;40;3532;3.09810671256455;;
707234090;2,02E+13;2,02E+13;1;chron.com;http://www.chron.com/life/article/Must-List-Pitbull-and-Iglesias-party-Houston-12360525.php;4;2107;-1;2077;1;40;3532;3.09810671256455;;
707234091;2,02E+13;2,02E+13;1;chron.com;http://www.chron.com/entertainment/preview/article/Must-List-Pitbull-and-Iglesias-party-Houston-12360525.php;4;2107;2126;2077;0;20;3532;3.09810671256455;;
707234091;2,02E+13;2,02E+13;1;chron.com;http://www.chron.com/life/article/Must-List-Pitbull-and-Iglesias-party-Houston-12360525.php;4;2107;2126;2077;0;20;3532;3.09810671256455;;
707198377;2,02E+13;2,02E+13;1;maritime-executive.com;https://www.maritime-executive.com/article/court-awards-spain-19b-for-prestige-spill;5;1112;-1;1132;1;30;2219;-4.05797101449275;;
707198378;2,02E+13;2,02E+13;1;maritime-executive.com;https://www.maritime-executive.com/article/court-awards-spain-19b-for-prestige-spill;5;1112;1179;1132;0;20;2219;-4.05797101449275;;
599015670;2,02E+13;2,02E+13;1;indiatimes.com;https://timesofindia.indiatimes.com/india/india-led-solar-alliance-to-add-1000gw-of-energy-by-2030/articleshow/61665846.cms;9;1641;1667;1613;0;20;2226;3.7940379403794;;
599038266;2,02E+13;2,02E+13;1;indiatimes.com;https://timesofindia.indiatimes.com/india/india-led-solar-alliance-to-add-1000gw-of-energy-by-2030/articleshow/61665846.cms;9;1667;-1;1613;0;20;2226;3.7940379403794;;
599009538;2,02E+13;2,02E+13;1;indiatimes.com;https://timesofindia.indiatimes.com/india/india-led-solar-alliance-to-add-1000gw-of-energy-by-2030/articleshow/61665846.cms;9;1672;-1;1613;1;60;2226;3.7940379403794;;
599015850;2,02E+13;2,02E+13;1;indiatimes.com;https://timesofindia.indiatimes.com/india/india-led-solar-alliance-to-add-1000gw-of-energy-by-2030/articleshow/61665846.cms;9;1667;1641;1613;0;20;2226;3.7940379403794;;
707224205;2,02E+13;2,02E+13;1;digitaljournal.com;http://www.digitaljournal.com/news/world/cambodia-court-to-rule-on-opposition-party-s-dissolution/article/507708;2;365;402;376;1;100;2593;-6.24999999999999;;
707237044;2,02E+13;2,02E+13;1;voanews.com;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html;15;4430;4452;4574;1;60;4634;-0.28571428571428;;
707237045;2,02E+13;2,02E+13;1;voanews.com;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html;15;4430;4479;4591;0;20;4634;-0.28571428571428;;
707237046;2,02E+13;2,02E+13;1;voanews.com;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html;15;4430;4462;4574;0;20;4634;-0.28571428571428;;
599154244;2,02E+13;2,02E+13;1;hamodia.com;http://hamodia.com/2017/11/15/house-foreign-affairs-committee-advances-taylor-force-act/;3;992;-1;909;0;20;2957;-3.31950207468879;;
599154265;2,02E+13;2,02E+13;1;hamodia.com;http://hamodia.com/2017/11/15/house-foreign-affairs-committee-advances-taylor-force-act/;3;-1;992;909;0;20;2957;-3.31950207468879;;
599170453;2,02E+13;2,02E+13;1;businessinsider.in;http://www.businessinsider.in/The-billionaire-founder-of-LinkedIn-was-one-of-Facebooks-early-investors-and-he-watched-CEO-Mark-Zuckerberg-overcome-the-most-spectacular-adaptation-curve/articleshow/61665967.cms;8;2208;2134;2151;1;100;3187;1.93798449612403;;
707213781;2,02E+13;2,02E+13;1;localsyr.com;http://www.localsyr.com/news/politics/house-dems-introduce-articles-of-impeachment-against-trump/858023637;6;1866;1902;1891;1;50;2440;-5.54089709762533;;
707213781;2,02E+13;2,02E+13;1;ktxs.com;http://www.ktxs.com/news/politics/house-dems-introduce-articles-of-impeachment-against-trump/656780793;6;1875;1911;1900;1;50;2458;-5.52631578947368;;
707213781;2,02E+13;2,02E+13;1;tristatehomepage.com;http://www.tristatehomepage.com/news/politics/house-dems-introduce-articles-of-impeachment-against-trump/858023185;6;1866;1902;1891;1;50;2440;-5.54089709762533;;
599348187;2,02E+13;2,02E+13;1;localsyr.com;http://www.localsyr.com/news/politics/house-dems-introduce-articles-of-impeachment-against-trump/858023637;6;1866;1902;1881;1;50;2440;-5.54089709762533;;
599348187;2,02E+13;2,02E+13;1;ktxs.com;http://www.ktxs.com/news/politics/house-dems-introduce-articles-of-impeachment-against-trump/656780793;6;1875;1911;1890;1;50;2458;-5.52631578947368;;
599348187;2,02E+13;2,02E+13;1;tristatehomepage.com;http://www.tristatehomepage.com/news/politics/house-dems-introduce-articles-of-impeachment-against-trump/858023185;6;1866;1902;1881;1;50;2440;-5.54089709762533;;
707213782;2,02E+13;2,02E+13;1;localsyr.com;http://www.localsyr.com/news/politics/house-dems-introduce-articles-of-impeachment-against-trump/858023637;6;1866;1852;1833;1;50;2440;-5.54089709762533;;
707213782;2,02E+13;2,02E+13;1;ktxs.com;http://www.ktxs.com/news/politics/house-dems-introduce-articles-of-impeachment-against-trump/656780793;6;1875;1861;1842;1;50;2458;-5.52631578947368;;
